node,scc_id,scc_size
Lipopolysaccharides,218,172
Inflammasomes,218,172
Proto_Oncogene_Proteins_c_akt_AKT1,218,172
Toxic_effect,218,172
Endothelial_Cells,218,172
Atherosclerosis,218,172
Glial_Fibrillary_Acidic_Protein,218,172
Amyloid_beta_Protein_Precursor,218,172
Ischemia,218,172
Hypercalcemia,218,172
Neurodegenerative_Disorders,218,172
STAT3_gene_STAT3,218,172
Apoptosis,218,172
gamma_Aminobutyric_Acid,218,172
Degenerative_abnormality,218,172
Peripheral_blood_mononuclear_cell,218,172
Arteriosclerosis,218,172
monocyte,218,172
Monoclonal_Antibodies,218,172
Infection,218,172
Cerebrovascular_accident,218,172
Spastic_syndrome,218,172
Amyloid,218,172
Endothelium,218,172
Memory_impairment,218,172
Myocardial_Ischemia,218,172
Hydrocortisone,218,172
Dendritic_Cells,218,172
Corticotropin_Releasing_Hormone,218,172
Down_Regulation,218,172
Macrophages_Alveolar,218,172
Up_Regulation_Physiology,218,172
Heart_failure,218,172
macrophage,218,172
Epithelial_Cells,218,172
Lesion,218,172
Chronic_Kidney_Diseases,218,172
CAMP,218,172
Angiotensin_II,218,172
Renal_Insufficiency,218,172
Diabetes,218,172
Metabolic_syndrome,218,172
Glucose,218,172
Chronic_inflammation,218,172
receptor,218,172
Abnormal_renal_function,218,172
Coronary_Arteriosclerosis,218,172
Interleukin_6,218,172
NOS2A_protein_human_NOS2,218,172
Dinoprostone,218,172
Parkinson_Disease,218,172
Pre_Eclampsia,218,172
Hyperglycemia,218,172
Pathogenesis,218,172
Microglia,218,172
Hypertension,218,172
Serotonin,218,172
Heart_Diseases,218,172
T_Lymphocyte,218,172
Tumor_Necrosis_Factors,218,172
Cardiac_Hypertrophy,218,172
Antibodies,218,172
Catecholamines,218,172
Cyclic_AMP_Dependent_Protein_Kinases,218,172
Obesity,218,172
Cell_Proliferation,218,172
Corticotropin_POMC,218,172
Diabetes_Mellitus_Non_Insulin_Dependent,218,172
Kidney_Failure,218,172
Injury,218,172
Liver,218,172
Dopamine,218,172
Cardiovascular_Diseases,218,172
Inflammation,218,172
APP_protein_human,218,172
cytokine,218,172
Cell_Cycle_Arrest,218,172
Macrophages_Peritoneal,218,172
Interleukin_10,218,172
Antigens,218,172
Free_Radicals,218,172
NF_kappa_B,218,172
Prostaglandins,218,172
CA2,218,172
TNF_gene_TNF,218,172
Fetal_Growth_Retardation,218,172
Neoplasm_Metastasis,218,172
Immune_response,218,172
cytotoxicity,218,172
Cerebral_atrophy,218,172
Astrocytes,218,172
B_Lymphocytes,218,172
Antioxidants,218,172
Autophagy,218,172
Aldosterone,218,172
Myocardial_Infarction,218,172
Cell_Line,218,172
Atrophic,218,172
Endothelial_dysfunction,218,172
TNF_protein_human_TNF,218,172
Leukocytes,218,172
Septicemia,218,172
Stress,218,172
caspase_3,218,172
Pressors,218,172
Insulin_Resistance,218,172
Interleukin_1_beta,218,172
Nitric_Oxide,218,172
Fibroblasts,218,172
Neurons,218,172
Hyperplasia,218,172
cyclooxygenase_2,218,172
Kidney_Diseases,218,172
Endothelin_1,218,172
Reactive_Oxygen_Species,218,172
Inflammatory_Response,218,172
neutrophil,218,172
Cell_Death,218,172
Stiffness,218,172
Diabetic_Nephropathy,218,172
Respiration,218,172
Atrial_Fibrillation,218,172
NOS3_protein_human_NOS3,218,172
Leptin_LEP,218,172
Cushing_Syndrome,218,172
Alzheimers,218,172
